,frequency,TopicA,TopicB,TopicA_words,TopicB_words
0,2,15,13,"['operational', 'market', 'trader']","['tipping_point', 'tipping', 'bifurcation']"
1,3,15,11,"['operational', 'market', 'trader']","['technology', 'community', 'plant']"
2,2,15,10,"['operational', 'market', 'trader']","['forest', 'carbon', 'fuel']"
3,2,15,8,"['operational', 'market', 'trader']","['planet', 'earth', 'planetary']"
4,8,15,7,"['operational', 'market', 'trader']","['climate', 'model', 'change']"
5,7,15,5,"['operational', 'market', 'trader']","['climate', 'change', 'datum']"
6,5,15,4,"['operational', 'market', 'trader']","['energy', 'power', 'model']"
7,1,15,3,"['operational', 'market', 'trader']","['population', 'group', 'speed']"
8,3,15,1,"['operational', 'market', 'trader']","['climate', 'change', 'rainfall']"
9,1,15,0,"['operational', 'market', 'trader']","['risk', 'rate', 'discount']"
10,1,14,13,"['critical_transition', 'direction', 'finance']","['tipping_point', 'tipping', 'bifurcation']"
11,2,14,11,"['critical_transition', 'direction', 'finance']","['technology', 'community', 'plant']"
12,1,14,10,"['critical_transition', 'direction', 'finance']","['forest', 'carbon', 'fuel']"
13,2,14,7,"['critical_transition', 'direction', 'finance']","['climate', 'model', 'change']"
14,2,14,5,"['critical_transition', 'direction', 'finance']","['climate', 'change', 'datum']"
15,2,14,4,"['critical_transition', 'direction', 'finance']","['energy', 'power', 'model']"
16,1,14,3,"['critical_transition', 'direction', 'finance']","['population', 'group', 'speed']"
17,2,14,1,"['critical_transition', 'direction', 'finance']","['climate', 'change', 'rainfall']"
18,2,13,15,"['tipping_point', 'tipping', 'bifurcation']","['operational', 'market', 'trader']"
19,1,13,14,"['tipping_point', 'tipping', 'bifurcation']","['critical_transition', 'direction', 'finance']"
20,7,13,11,"['tipping_point', 'tipping', 'bifurcation']","['technology', 'community', 'plant']"
21,4,13,10,"['tipping_point', 'tipping', 'bifurcation']","['forest', 'carbon', 'fuel']"
22,4,13,8,"['tipping_point', 'tipping', 'bifurcation']","['planet', 'earth', 'planetary']"
23,23,13,7,"['tipping_point', 'tipping', 'bifurcation']","['climate', 'model', 'change']"
24,22,13,5,"['tipping_point', 'tipping', 'bifurcation']","['climate', 'change', 'datum']"
25,14,13,4,"['tipping_point', 'tipping', 'bifurcation']","['energy', 'power', 'model']"
26,5,13,3,"['tipping_point', 'tipping', 'bifurcation']","['population', 'group', 'speed']"
27,2,13,2,"['tipping_point', 'tipping', 'bifurcation']","['extinction', 'stress', 'abundance']"
28,12,13,1,"['tipping_point', 'tipping', 'bifurcation']","['climate', 'change', 'rainfall']"
29,3,13,0,"['tipping_point', 'tipping', 'bifurcation']","['risk', 'rate', 'discount']"
30,3,11,15,"['technology', 'community', 'plant']","['operational', 'market', 'trader']"
31,2,11,14,"['technology', 'community', 'plant']","['critical_transition', 'direction', 'finance']"
32,7,11,13,"['technology', 'community', 'plant']","['tipping_point', 'tipping', 'bifurcation']"
33,16,11,10,"['technology', 'community', 'plant']","['forest', 'carbon', 'fuel']"
34,9,11,8,"['technology', 'community', 'plant']","['planet', 'earth', 'planetary']"
35,87,11,7,"['technology', 'community', 'plant']","['climate', 'model', 'change']"
36,79,11,5,"['technology', 'community', 'plant']","['climate', 'change', 'datum']"
37,61,11,4,"['technology', 'community', 'plant']","['energy', 'power', 'model']"
38,17,11,3,"['technology', 'community', 'plant']","['population', 'group', 'speed']"
39,13,11,2,"['technology', 'community', 'plant']","['extinction', 'stress', 'abundance']"
40,52,11,1,"['technology', 'community', 'plant']","['climate', 'change', 'rainfall']"
41,27,11,0,"['technology', 'community', 'plant']","['risk', 'rate', 'discount']"
42,2,10,15,"['forest', 'carbon', 'fuel']","['operational', 'market', 'trader']"
43,1,10,14,"['forest', 'carbon', 'fuel']","['critical_transition', 'direction', 'finance']"
44,4,10,13,"['forest', 'carbon', 'fuel']","['tipping_point', 'tipping', 'bifurcation']"
45,16,10,11,"['forest', 'carbon', 'fuel']","['technology', 'community', 'plant']"
46,3,10,8,"['forest', 'carbon', 'fuel']","['planet', 'earth', 'planetary']"
47,41,10,7,"['forest', 'carbon', 'fuel']","['climate', 'model', 'change']"
48,37,10,5,"['forest', 'carbon', 'fuel']","['climate', 'change', 'datum']"
49,25,10,4,"['forest', 'carbon', 'fuel']","['energy', 'power', 'model']"
50,4,10,3,"['forest', 'carbon', 'fuel']","['population', 'group', 'speed']"
51,5,10,2,"['forest', 'carbon', 'fuel']","['extinction', 'stress', 'abundance']"
52,19,10,1,"['forest', 'carbon', 'fuel']","['climate', 'change', 'rainfall']"
53,15,10,0,"['forest', 'carbon', 'fuel']","['risk', 'rate', 'discount']"
54,2,8,15,"['planet', 'earth', 'planetary']","['operational', 'market', 'trader']"
55,4,8,13,"['planet', 'earth', 'planetary']","['tipping_point', 'tipping', 'bifurcation']"
56,9,8,11,"['planet', 'earth', 'planetary']","['technology', 'community', 'plant']"
57,3,8,10,"['planet', 'earth', 'planetary']","['forest', 'carbon', 'fuel']"
58,26,8,7,"['planet', 'earth', 'planetary']","['climate', 'model', 'change']"
59,24,8,5,"['planet', 'earth', 'planetary']","['climate', 'change', 'datum']"
60,22,8,4,"['planet', 'earth', 'planetary']","['energy', 'power', 'model']"
61,9,8,3,"['planet', 'earth', 'planetary']","['population', 'group', 'speed']"
62,2,8,2,"['planet', 'earth', 'planetary']","['extinction', 'stress', 'abundance']"
63,10,8,1,"['planet', 'earth', 'planetary']","['climate', 'change', 'rainfall']"
64,9,8,0,"['planet', 'earth', 'planetary']","['risk', 'rate', 'discount']"
65,8,7,15,"['climate', 'model', 'change']","['operational', 'market', 'trader']"
66,2,7,14,"['climate', 'model', 'change']","['critical_transition', 'direction', 'finance']"
67,23,7,13,"['climate', 'model', 'change']","['tipping_point', 'tipping', 'bifurcation']"
68,87,7,11,"['climate', 'model', 'change']","['technology', 'community', 'plant']"
69,41,7,10,"['climate', 'model', 'change']","['forest', 'carbon', 'fuel']"
70,26,7,8,"['climate', 'model', 'change']","['planet', 'earth', 'planetary']"
71,3,7,6,"['climate', 'model', 'change']","['ozone', 'land', 'relative_humidity']"
72,236,7,5,"['climate', 'model', 'change']","['climate', 'change', 'datum']"
73,166,7,4,"['climate', 'model', 'change']","['energy', 'power', 'model']"
74,54,7,3,"['climate', 'model', 'change']","['population', 'group', 'speed']"
75,30,7,2,"['climate', 'model', 'change']","['extinction', 'stress', 'abundance']"
76,156,7,1,"['climate', 'model', 'change']","['climate', 'change', 'rainfall']"
77,61,7,0,"['climate', 'model', 'change']","['risk', 'rate', 'discount']"
78,3,6,7,"['ozone', 'land', 'relative_humidity']","['climate', 'model', 'change']"
79,3,6,5,"['ozone', 'land', 'relative_humidity']","['climate', 'change', 'datum']"
80,2,6,4,"['ozone', 'land', 'relative_humidity']","['energy', 'power', 'model']"
81,1,6,3,"['ozone', 'land', 'relative_humidity']","['population', 'group', 'speed']"
82,7,5,15,"['climate', 'change', 'datum']","['operational', 'market', 'trader']"
83,2,5,14,"['climate', 'change', 'datum']","['critical_transition', 'direction', 'finance']"
84,22,5,13,"['climate', 'change', 'datum']","['tipping_point', 'tipping', 'bifurcation']"
85,79,5,11,"['climate', 'change', 'datum']","['technology', 'community', 'plant']"
86,37,5,10,"['climate', 'change', 'datum']","['forest', 'carbon', 'fuel']"
87,24,5,8,"['climate', 'change', 'datum']","['planet', 'earth', 'planetary']"
88,236,5,7,"['climate', 'change', 'datum']","['climate', 'model', 'change']"
89,3,5,6,"['climate', 'change', 'datum']","['ozone', 'land', 'relative_humidity']"
90,146,5,4,"['climate', 'change', 'datum']","['energy', 'power', 'model']"
91,47,5,3,"['climate', 'change', 'datum']","['population', 'group', 'speed']"
92,26,5,2,"['climate', 'change', 'datum']","['extinction', 'stress', 'abundance']"
93,138,5,1,"['climate', 'change', 'datum']","['climate', 'change', 'rainfall']"
94,56,5,0,"['climate', 'change', 'datum']","['risk', 'rate', 'discount']"
95,5,4,15,"['energy', 'power', 'model']","['operational', 'market', 'trader']"
96,2,4,14,"['energy', 'power', 'model']","['critical_transition', 'direction', 'finance']"
97,14,4,13,"['energy', 'power', 'model']","['tipping_point', 'tipping', 'bifurcation']"
98,61,4,11,"['energy', 'power', 'model']","['technology', 'community', 'plant']"
99,25,4,10,"['energy', 'power', 'model']","['forest', 'carbon', 'fuel']"
100,22,4,8,"['energy', 'power', 'model']","['planet', 'earth', 'planetary']"
101,166,4,7,"['energy', 'power', 'model']","['climate', 'model', 'change']"
102,2,4,6,"['energy', 'power', 'model']","['ozone', 'land', 'relative_humidity']"
103,146,4,5,"['energy', 'power', 'model']","['climate', 'change', 'datum']"
104,38,4,3,"['energy', 'power', 'model']","['population', 'group', 'speed']"
105,16,4,2,"['energy', 'power', 'model']","['extinction', 'stress', 'abundance']"
106,100,4,1,"['energy', 'power', 'model']","['climate', 'change', 'rainfall']"
107,41,4,0,"['energy', 'power', 'model']","['risk', 'rate', 'discount']"
108,1,3,15,"['population', 'group', 'speed']","['operational', 'market', 'trader']"
109,1,3,14,"['population', 'group', 'speed']","['critical_transition', 'direction', 'finance']"
110,5,3,13,"['population', 'group', 'speed']","['tipping_point', 'tipping', 'bifurcation']"
111,17,3,11,"['population', 'group', 'speed']","['technology', 'community', 'plant']"
112,4,3,10,"['population', 'group', 'speed']","['forest', 'carbon', 'fuel']"
113,9,3,8,"['population', 'group', 'speed']","['planet', 'earth', 'planetary']"
114,54,3,7,"['population', 'group', 'speed']","['climate', 'model', 'change']"
115,1,3,6,"['population', 'group', 'speed']","['ozone', 'land', 'relative_humidity']"
116,47,3,5,"['population', 'group', 'speed']","['climate', 'change', 'datum']"
117,38,3,4,"['population', 'group', 'speed']","['energy', 'power', 'model']"
118,8,3,2,"['population', 'group', 'speed']","['extinction', 'stress', 'abundance']"
119,29,3,1,"['population', 'group', 'speed']","['climate', 'change', 'rainfall']"
120,14,3,0,"['population', 'group', 'speed']","['risk', 'rate', 'discount']"
121,2,2,13,"['extinction', 'stress', 'abundance']","['tipping_point', 'tipping', 'bifurcation']"
122,13,2,11,"['extinction', 'stress', 'abundance']","['technology', 'community', 'plant']"
123,5,2,10,"['extinction', 'stress', 'abundance']","['forest', 'carbon', 'fuel']"
124,2,2,8,"['extinction', 'stress', 'abundance']","['planet', 'earth', 'planetary']"
125,30,2,7,"['extinction', 'stress', 'abundance']","['climate', 'model', 'change']"
126,26,2,5,"['extinction', 'stress', 'abundance']","['climate', 'change', 'datum']"
127,16,2,4,"['extinction', 'stress', 'abundance']","['energy', 'power', 'model']"
128,8,2,3,"['extinction', 'stress', 'abundance']","['population', 'group', 'speed']"
129,16,2,1,"['extinction', 'stress', 'abundance']","['climate', 'change', 'rainfall']"
130,3,2,0,"['extinction', 'stress', 'abundance']","['risk', 'rate', 'discount']"
131,3,1,15,"['climate', 'change', 'rainfall']","['operational', 'market', 'trader']"
132,2,1,14,"['climate', 'change', 'rainfall']","['critical_transition', 'direction', 'finance']"
133,12,1,13,"['climate', 'change', 'rainfall']","['tipping_point', 'tipping', 'bifurcation']"
134,52,1,11,"['climate', 'change', 'rainfall']","['technology', 'community', 'plant']"
135,19,1,10,"['climate', 'change', 'rainfall']","['forest', 'carbon', 'fuel']"
136,10,1,8,"['climate', 'change', 'rainfall']","['planet', 'earth', 'planetary']"
137,156,1,7,"['climate', 'change', 'rainfall']","['climate', 'model', 'change']"
138,138,1,5,"['climate', 'change', 'rainfall']","['climate', 'change', 'datum']"
139,100,1,4,"['climate', 'change', 'rainfall']","['energy', 'power', 'model']"
140,29,1,3,"['climate', 'change', 'rainfall']","['population', 'group', 'speed']"
141,16,1,2,"['climate', 'change', 'rainfall']","['extinction', 'stress', 'abundance']"
142,37,1,0,"['climate', 'change', 'rainfall']","['risk', 'rate', 'discount']"
143,1,0,15,"['risk', 'rate', 'discount']","['operational', 'market', 'trader']"
144,3,0,13,"['risk', 'rate', 'discount']","['tipping_point', 'tipping', 'bifurcation']"
145,27,0,11,"['risk', 'rate', 'discount']","['technology', 'community', 'plant']"
146,15,0,10,"['risk', 'rate', 'discount']","['forest', 'carbon', 'fuel']"
147,9,0,8,"['risk', 'rate', 'discount']","['planet', 'earth', 'planetary']"
148,61,0,7,"['risk', 'rate', 'discount']","['climate', 'model', 'change']"
149,56,0,5,"['risk', 'rate', 'discount']","['climate', 'change', 'datum']"
150,41,0,4,"['risk', 'rate', 'discount']","['energy', 'power', 'model']"
151,14,0,3,"['risk', 'rate', 'discount']","['population', 'group', 'speed']"
152,3,0,2,"['risk', 'rate', 'discount']","['extinction', 'stress', 'abundance']"
153,37,0,1,"['risk', 'rate', 'discount']","['climate', 'change', 'rainfall']"
